day,x,y,z
222,-1.5922630909372856E12,-1.0507387813027325E12,1.9631503663334314E7
223,-1.5987234642802573E12,-1.0552846626394669E12,1.9681865096692707E7
224,-1.6051836111274338E12,-1.059830394408704E12,1.973222480855168E7
225,-1.6116435333559563E12,-1.0643759778109689E12,1.978258281312077E7
226,-1.618103232819677E12,-1.0689214140323617E12,1.9832939124438718E7
227,-1.6245627113495437E12,-1.0734667042447882E12,1.988329375637613E7
228,-1.631021970753976E12,-1.0780118496061857E12,1.9933646722638074E7
229,-1.6374810128192341E12,-1.0825568512607443E12,1.9983998036766656E7
230,-1.6439398393097793E12,-1.0871017103391241E12,2.0034347712143514E7
231,-1.6503984519686284E12,-1.091646427958668E12,2.0084695761992287E7
232,-1.6568568525177E12,-1.0961910052236099E12,2.013504219938103E7
233,-1.663315042658154E12,-1.1007354432252795E12,2.018538703722458E7
234,-1.669773024070725E12,-1.1052797430423035E12,2.0235730288286887E7
235,-1.6762307984160476E12,-1.1098239057408005E12,2.028607196518329E7
236,-1.6826883673349766E12,-1.114367932374576E12,2.033641208038277E7
237,-1.6891457324489E12,-1.1189118239853096E12,2.038675064621013E7
238,-1.6956028953600466E12,-1.123455581602742E12,2.0437087674848165E7
239,-1.7020598576517874E12,-1.1279992062448562E12,2.048742317833978E7
240,-1.708516620888929E12,-1.1325426989180566E12,2.053775716859006E7
241,-1.7149731866180054E12,-1.1370860606173435E12,2.058808965736833E7
242,-1.72142955636756E12,-1.1416292923264856E12,2.063842065631013E7
243,-1.7278857316484253E12,-1.146172395018188E12,2.068875017691922E7
244,-1.7343417139539946E12,-1.150715369654258E12,2.073907823056948E7
245,-1.7407975047604907E12,-1.155258217185768E12,2.078940482850684E7
246,-1.7472531055272278E12,-1.1598009385532139E12,2.08397299818511E7
247,-1.7537085176968696E12,-1.164343534686672E12,2.089005370159781E7
248,-1.760163742695682E12,-1.168886006505953E12,2.0940375998620033E7
249,-1.76661878193378E12,-1.1734283549207515E12,2.099069688367013E7
250,-1.7730736368053728E12,-1.1779705808307952E12,2.1041016367381487E7
251,-1.779528308689001E12,-1.1825126851259897E12,2.1091334460270226E7
252,-1.7859827989477708E12,-1.187054668686561E12,2.1141651172736872E7
253,-1.7924371089295847E12,-1.1915965323831956E12,2.119196651506801E7
254,-1.7988912399673667E12,-1.196138277077178E12,2.124228049743789E7
255,-1.8053451933792834E12,-1.2006799036205261E12,2.1292593129910037E7
256,-1.811798970468962E12,-1.2052214128561233E12,2.134290442243879E7
257,-1.8182525725257026E12,-1.209762805617849E12,2.139321438487085E7
258,-1.824706000824689E12,-1.214304082730707E12,2.144352302694679E7
259,-1.8311592566271929E12,-1.21884524501095E12,2.1493830358302537E7
260,-1.837612341180777E12,-1.223386293266204E12,2.1544136388470832E7
261,-1.8440652557194927E12,-1.2279272282955898E12,2.159444112688266E7
262,-1.850518001464074E12,-1.2324680508898416E12,2.1644744582868665E7
263,-1.8569705796221304E12,-1.2370087618314238E12,2.1695046765660536E7
264,-1.863422991388333E12,-1.241549361894647E12,2.174534768439237E7
265,-1.8698752379446E12,-1.24608985184578E12,2.179564734810201E7
266,-1.876327320460277E12,-1.2506302324431619E12,2.1845945765732367E7
267,-1.8827792400923157E12,-1.2551705044373105E12,2.1896242946132716E7
268,-1.8892309979854478E12,-1.2597106685710303E12,2.1946538898059975E7
269,-1.8956825952723574E12,-1.264250725579517E12,2.1996833630179957E7
270,-1.9021340330738494E12,-1.2687906761904622E12,2.2047127151068598E7
271,-1.9085853124990154E12,-1.2733305211241545E12,2.2097419469213184E7
272,-1.9150364346453962E12,-1.2778702610935806E12,2.2147710593013536E7
273,-1.9214874005991426E12,-1.2824098968045227E12,2.2198000530783195E7
274,-1.9279382114351714E12,-1.2869494289556562E12,2.2248289290750563E7
275,-1.9343888682173213E12,-1.2914888582386445E12,2.2298576881060056E7
276,-1.9408393719985042E12,-1.2960281853382327E12,2.234886330977322E7
277,-1.9472897238208545E12,-1.3005674109323396E12,2.2399148584869828E7
278,-1.9537399247158757E12,-1.3051065356921487E12,2.2449432714248966E7
279,-1.9601899757045852E12,-1.3096455602821965E12,2.249971570573011E7
280,-1.966639877797656E12,-1.3141844853604607E12,2.254999756705416E7
281,-1.9730896319955554E12,-1.318723311578446E12,2.2600278305884484E7
282,-1.9795392392886833E12,-1.3232620395812688E12,2.2650557929807935E7
283,-1.9859887006575063E12,-1.327800670007741E12,2.2700836446335852E7
284,-1.9924380170726902E12,-1.3323392034904512E12,2.2751113862905044E7
285,-1.9988871894952305E12,-1.336877640655846E12,2.280139018687876E7
286,-2.0053362188765806E12,-1.3414159821243093E12,2.2851665425547652E7
287,-2.011785106158778E12,-1.34595422851024E12,2.29019395861307E7
288,-2.0182338522745684E12,-1.3504923804221292E12,2.295221267577616E7
289,-2.0246824581475269E12,-1.3550304384626355E12,2.3002484701562453E7
290,-2.0311309246921787E12,-1.3595684032286597E12,2.3052755670499075E7
291,-2.037579252814117E12,-1.3641062753114177E12,2.310302558952748E7
292,-2.0440274434101187E12,-1.368644055296513E12,2.3153294465521947E7
293,-2.0504754973682593E12,-1.3731817437640066E12,2.3203562305290435E7
294,-2.0569234155680242E12,-1.377719341288488E12,2.3253829115575433E7
295,-2.0633711988804204E12,-1.3822568484391433E12,2.330409490305478E7
296,-2.0698188481680845E12,-1.3867942657798225E12,2.3354359674342502E7
297,-2.0762663642853901E12,-1.391331593869107E12,2.340462343598959E7
298,-2.082713748078553E12,-1.3958688332603738E12,2.345488619448481E7
299,-2.0891610003857346E12,-1.4004059845018616E12,2.350514795625549E7
300,-2.0956081220371443E12,-1.404943048136733E12,2.3555408727668274E7
301,-2.1020551138551401E12,-1.4094800247031372E12,2.3605668515029877E7
302,-2.1085019766543267E12,-1.4140169147342727E12,2.3655927324587848E7
303,-2.114948711241653E12,-1.4185537187584463E12,2.3706185162531294E7
304,-2.1213953184165085E12,-1.423090437299134E12,2.3756442034991596E7
305,-2.1278417989708167E12,-1.4276270708750396E12,2.3806697948043138E7
306,-2.1342881536891282E12,-1.4321636200001516E12,2.3856952907703992E7
307,-2.1407343833487122E12,-1.4367000851838018E12,2.3907206919936616E7
308,-2.1471804887196465E12,-1.4412364669307205E12,2.3957459990648538E7
309,-2.1536264705649055E12,-1.4457727657410916E12,2.400771212569302E7
310,-2.1600723296404478E12,-1.450308982110608E12,2.4057963330869716E7
311,-2.1665180666953022E12,-1.4548451165305244E12,2.4108213611925326E7
312,-2.172963682471652E12,-1.4593811694877112E12,2.4158462974554237E7
313,-2.1794091777049182E12,-1.4639171414647048E12,2.4208711424399152E7
314,-2.1858545531238416E12,-1.4684530329397612E12,2.425895896705171E7
315,-2.1922998094505637E12,-1.4729888443869045E12,2.4309205608053096E7
316,-2.198744947400706E12,-1.4775245762759783E12,2.4359451352894645E7
